編號,縣市別代碼,地址,發放口罩藥局名稱,TM2X,TM2Y,行政區,成人口罩數量,兒童口罩數量,藥局提供時間說明,經度,緯度,口罩地圖數量紀錄時間,系統查詢總計數量,系統紀錄日期,系統當日查詢數量
1,66000,臺中市和平區東關路三段132號,臺中市和平區衛生所,237992.9493,2674306.466,NULL,2010,1430,平日下午1時30分至4時，周六、日(含國定假日)不販售,120.8818254,24.17407265,2022/2/15 15:08,892696,2023/1/1,7
2,66000,臺中市和平區梨山里中正路６８號,臺中市和平區梨山衛生所,275907.0332,2683215.8,NULL,930,680,平日上午9時至12時販售，周六、日(含國定假日)上午9時至11時販售,121.255139,24.25434976,2022/2/15 15:08,892689,2022/12/31,10
3,66000,臺中市豐原區安康路１０３號,金宏健保藥局,222158.8718,2681965.84,豐原區,1410,650,星期一至星期六上午9:00-晚上8:00,120.7258379,24.24303051,2022/2/15 15:08,892679,2022/12/30,3
4,66000,臺中市豐原區中正路３７９號,理妍藥局,220894.7655,2682825.293,豐原區,560,740,-,120.7133725,24.25076772,2022/2/15 15:08,892676,2022/12/29,1
5,66000,臺中市豐原區豐東路４０１號１樓,友誠藥局,222946.4789,2683241.903,豐原區,1510,1670,禮拜一至禮拜六口罩代售時間09:00至21:00，售完為止。,120.7335697,24.25456609,2022/2/15 15:08,892675,2022/12/28,3
6,66000,臺中市豐原區豐南街１２號１樓,維立藥局,220764.3854,2681576.888,豐原區,370,440,9點00分發口罩，售完為止,120.7121139,24.23949323,2022/2/15 15:08,892672,2022/12/27,3
7,66000,臺中市豐原區中山路４２２號１樓,永豐藥局,221088.8516,2682443.965,豐原區,100,710,-,120.7152915,24.24732824,2022/2/15 15:08,892669,2022/12/26,2
8,66000,臺中市豐原區西勢路２００號１樓,豐原西勢藥局,220218.4041,2682051.46,豐原區,1270,90,口罩發放時間:禮拜一至禮拜天，每天下午兩點開始過卡購買,120.7067278,24.24376796,2022/2/15 15:08,892667,2022/12/25,1
9,66000,臺中市豐原區中山路３５９號１樓,心美日藥局,221051.3574,2682661.202,豐原區,0,840,-,120.7149179,24.24928902,2022/2/15 15:08,892666,2022/12/24,2
10,66000,臺中市豐原區南陽路１４０號,昭仁藥局,222641.9347,2681921.72,豐原區,2250,60,-,120.7305956,24.24264064,2022/2/15 15:08,892664,2022/12/23,2
11,66000,臺中市豐原區豐東路３０８號,甲蒂健保藥局,222888.6321,2682839.461,豐原區,1910,440,9點開始發號碼牌購買,120.7330076,24.25093137,2022/2/15 15:08,892662,2022/12/22,4
12,66000,臺中市豐原區中山路１７８號１樓,豐原啄木鳥藥局,220755.135,2681641.406,豐原區,8080,1050,0820營業開始發口罩，周日不發,120.7120215,24.24007561,2022/2/15 15:08,892658,2022/12/21,6
13,66000,臺中市豐原區新生北路２０６號之１（１樓）,豐原藥局,221774.474,2683292.198,豐原區,0,330,-,120.7220266,24.25499956,2022/2/15 15:08,892652,2022/12/20,1
14,66000,臺中市豐原區中山路５０４號,心之藥局,221045.3859,2682750.352,豐原區,1610,2160,W1-5 pm1:00-pm3:00 週日pm2-4 週六休,120.7148573,24.25009386,2022/2/15 15:08,892651,2022/12/19,4
15,66000,臺中市東勢區豐勢路５５７號,向日葵藥局,232457.9632,2683792.223,東勢區,1640,120,109/02/17起，周一至五於17點販賣口罩，周六於09點販賣口罩，周日休息。,120.8272342,24.25967028,2022/2/15 15:08,892647,2022/12/18,5
